Cluster,quantity,sales value,Price,COUPON_DISCOUNT,num_national,dh_coupon_redeemed,value of dh coupon
0,1,0,0,,1,0,0
0,1,0,0,,1,0,0
0,1,0,0,,1,0,0
0,1,0,0,,0,0,0
0,2,0,0,,2,0,0
0,1,0,0,,1,0,0
0,1,0,0,,1,0,0
0,0,0,0,,0,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,-0.75,0,-0.75,3,0,0
0,0,-7,0,-7,6,0,0
0,0,-1,0,-1,2,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,-2,0,-2,2,0,0
0,0,0,0,,1,0,0
0,0,-7.25,0,-7.25,13,0,0
0,0,-10,0,-10,2,0,0
0,0,-9.28,0,-9.28,2,0,0
0,0,-18.67,0,-18.67,4,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,-3,0,-3,3,0,0
0,0,0,0,,1,0,0
0,0,0,0,,0,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,0,0,0
0,0,0,0,,0,0,0
0,0,-7,0,-7,7,0,0
0,0,-1,0,-1,1,0,0
0,0,-1,0,-1,1,0,0
0,0,0,0,,1,0,0
0,0,-2.15,0,-2.15,1,0,0
0,0,0,0,,1,0,0
0,0,-2.39,0,-2.39,2,0,0
0,0,-0.75,0,-0.75,1,0,0
0,0,-1,0,-1,2,0,0
0,0,-1,0,-1,2,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,-2,0,-2,2,0,0
0,0,-4.5,0,-4.5,2,0,0
0,0,-0.2,0,-0.2,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,-1.1,0,-1.1,4,0,0
0,0,0,0,,1,0,0
0,0,0,0,,0,0,0
0,0,-9.08,0,-9.08,2,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
0,0,0,0,,1,0,0
