Cluster,quantity,sales value,Price,COUPON_DISCOUNT,num_national,dh_coupon_redeemed,value of dh coupon
2,280,71.7,0.256071429,,169,0,0
2,531,197.17,0.371318267,,13,0,0
2,345,128.97,0.373826087,,125,0,0
2,339,128.52,0.379115044,-1.98,103,0,0
2,201,77.67,0.38641791,,31,0,0
2,197,77.68,0.394314721,,91,0,0
2,415,169.95,0.409518072,,85,0,0
2,185,79.78,0.431243243,,169,0,0
2,192,82.96,0.432083333,,7,0,0
2,195,89.38,0.458358974,,13,0,0
2,299,139.04,0.465016722,,25,0,0
2,181,83.44,0.460994475,-1.79,40,0,0
2,307,145.46,0.473811075,,5,0,0
2,196,92.97,0.474336735,,31,0,0
2,369,181.6,0.492140921,,94,0,0
2,303,137.15,0.452640264,-8.7,59,2,-4.36
2,167,85.37,0.511197605,,46,0,0
2,207,107.24,0.518067633,,108,0,0
2,259,134.75,0.52027027,,52,0,0
2,305,158.7,0.520327869,,19,0,0
2,195,101.84,0.52225641,,88,0,0
2,445,228.21,0.512831461,,90,2,-3
2,192,101.38,0.528020833,,27,0,0
2,223,121.7,0.54573991,,143,0,0
2,426,187.4,0.439906103,,2,8,-6.18
2,177,98.97,0.559152542,,28,0,0
2,293,156,0.532423208,-7.5,258,1,-1.3
2,197,115.08,0.584162437,-1,47,0,0
2,372,217.13,0.583682796,-2.15,27,0,0
2,249,138.79,0.557389558,-1.79,125,5,-1.25
2,321,189.3,0.589719626,,65,0,0
2,440,259.61,0.590022727,-1,270,0,0
2,334,198.39,0.593982036,-1,70,0,0
2,156,95.02,0.609102564,,86,0,0
2,263,147.03,0.55904943,-1,157,5,-2.5
2,167,102.53,0.613952096,,49,0,0
2,261,160.62,0.615402299,,22,0,0
2,136,86.21,0.633897059,,69,0,0
2,377,239.49,0.635251989,-1,240,0,0
2,340,216.9,0.637941176,,15,0,0
2,242,154.05,0.636570248,-0.5,131,0,0
2,158,101.6,0.643037975,,45,0,0
2,219,131.94,0.602465753,-9.4,105,0,0
2,160,103.43,0.6464375,,6,0,0
2,216,140.01,0.648194444,,37,0,0
2,207,135.97,0.656859903,,31,0,0
2,312,202.76,0.649871795,-3.38,191,0,0
2,180,119.29,0.662722222,,43,0,0
2,247,165.25,0.66902834,,71,0,0
2,299,200.54,0.670702341,,0,0,0
2,412,276.44,0.670970874,,203,0,0
2,183,122.79,0.670983607,,106,0,0
2,219,146.96,0.671050228,,141,0,0
2,373,251.09,0.673163539,,99,0,0
